Gender,University_Tier,Years_Experience,Interview_Score,Hired
1,1,7,71.27587834934413,1
0,1,9,71.78855950910805,1
1,1,5,62.051203796664325,0
1,3,10,71.5008826340657,1
1,1,8,59.47571413701856,0
1,1,3,67.18435946759112,0
1,2,12,71.27855853422257,1
1,3,6,56.60945494943605,0
1,2,2,51.36318331139946,0
0,2,10,65.17542610370302,0
0,1,11,70.84510751597371,1
0,2,5,45.52473482917955,0
1,2,3,58.637193259299984,0
0,2,4,39.147779102473095,0
1,2,7,59.400509147769235,0
1,2,9,67.25910733250885,0
0,1,7,64.56667482657812,0
1,2,5,55.92204114390425,0
1,1,9,71.25068668461782,1
0,3,4,42.79913345334212,0
0,3,8,46.317114790781645,0
0,3,4,44.64920233880572,0
0,3,6,41.258209719565265,0
1,2,5,53.74038869763274,0
1,3,5,64.63172702860567,0
1,2,4,54.71020936167244,0
1,2,9,61.4454399646392,0
1,2,3,47.28973029114085,0
0,2,3,46.667490584514724,0
1,3,11,65.29347742669971,0
1,2,8,64.731451324668,0
1,2,0,49.2039914420668,0
1,3,3,56.0647144233489,0
0,1,0,54.1023508301204,0
0,2,2,52.61543675532734,0
0,3,0,31.43344718181546,0
1,2,5,65.3089238347916,0
1,2,2,58.02619928952203,0
1,2,5,59.817763398709815,0
0,2,0,35.8321112514965,0
1,3,5,56.659819642832765,0
1,2,4,60.550493656036366,0
0,2,10,53.44000531237756,0
0,1,9,73.83169432975328,1
0,1,7,75.18102489129798,1
1,3,4,63.34973869534839,0
0,2,11,62.36669308007752,0
1,2,0,59.31379843190141,0
1,1,1,53.85312894396772,0
0,2,5,51.52223489836109,0
1,3,12,75.69259754290636,1
1,2,4,53.51833333514002,0
0,1,4,60.57204943977496,0
1,2,1,60.68952380917625,0
0,3,8,44.204738456648194,0
0,2,8,46.0053685115927,0
0,3,7,56.17286945939647,0
1,2,3,61.98381612490219,0
1,3,3,53.160601219918846,0
0,2,1,38.093325475683315,0
0,1,5,62.80737747197509,0
1,2,2,55.40974436904526,0
0,2,1,49.6846009878107,0
0,3,4,43.239879125106256,0
1,3,4,63.83479633623483,0
1,2,3,51.51029007179885,0
0,2,6,48.58087744215182,0
1,1,5,63.134706661680426,0
1,3,4,47.57429228418834,0
0,2,6,50.7429629994919,0
1,2,2,56.086646508302195,0
0,2,5,47.7619404423762,0
1,1,5,75.85226089472278,1
1,2,0,52.3223373486178,0
1,2,8,71.75068401839808,1
0,1,2,59.33047123149488,0
1,3,5,63.390278002262974,0
0,2,8,63.65026538063084,0
0,1,8,73.65542565487975,1
0,2,5,41.905193260708415,0
1,3,4,50.25597488611416,0
1,2,8,67.40967151602581,0
0,2,7,52.18720289790649,0
1,1,3,64.49212567192185,0
0,1,3,63.3009884061502,0
1,2,0,50.0349245812797,0
0,3,5,37.38110755104152,0
1,3,5,57.00569130632115,0
0,1,8,80.27493678740328,1
1,2,6,67.09964302713877,0
0,3,9,54.3761415003219,0
0,2,3,46.900776679367155,0
0,3,8,48.17071093730773,0
1,1,3,58.4586742695834,0
1,3,7,55.26107447817009,0
0,3,1,34.30685556540873,0
1,3,6,54.889970516454596,0
1,2,0,56.041373703260696,0
1,2,4,55.623382911589054,0
1,3,6,52.98639141887542,0
0,2,3,52.921587737910166,0
0,2,2,38.17366902922312,0
1,3,8,61.76764228625176,0
1,3,5,57.25661412371706,0
1,3,4,47.31653440539593,0
0,2,5,56.0267122589027,0
0,3,13,62.73304813816519,0
1,3,8,68.7919200594039,0
1,1,8,67.6038903139095,0
1,2,6,62.4956289623808,0
1,2,5,60.19677877497098,0
1,2,0,51.31944247175011,0
0,3,3,30.684330766062242,0
0,2,4,46.76733849771552,0
1,3,0,37.86768044288127,0
1,3,2,50.79167035598461,0
0,2,0,25.481629099259933,0
0,3,5,32.48380502279349,0
1,2,7,68.09274358219999,0
0,3,8,47.09380045540741,0
0,1,6,62.0607096318388,0
1,3,2,55.35422810537774,0
1,2,0,51.638131086642076,0
1,2,0,54.36045097766892,0
0,3,1,35.43914474043419,0
1,2,2,67.39814346950001,0
0,2,5,43.83219572926577,0
0,2,2,50.470141108275655,0
1,3,6,56.69316979950044,0
1,2,4,49.727448025436274,0
1,1,5,67.41424372874054,0
1,2,8,67.57381280727581,0
1,2,1,46.74339092880385,0
0,1,6,62.38890361432642,0
0,2,5,49.03172657906845,0
0,2,4,48.11686804964802,0
0,1,8,58.646683585603,0
1,2,8,71.26560726261901,1
0,3,2,35.012276389332186,0
1,1,4,56.34126257800912,0
1,2,6,66.70533275725965,0
1,2,4,57.88191010290772,0
1,2,7,70.08082888391127,1
1,3,6,59.189761314898774,0
1,2,10,69.99242748525977,0
0,2,0,38.695690413402346,0
1,1,5,67.41356380278069,0
0,2,2,39.19779860962721,0
0,2,7,45.91889388670473,0
1,1,0,58.04954561327322,0
0,2,6,48.400226348512916,0
1,3,3,51.16783824034503,0
1,2,3,61.44689918077304,0
1,2,1,51.4306169613213,0
0,3,4,38.943712803022194,0
0,3,8,47.36390970666818,0
1,2,5,62.15369966990925,0
1,3,7,60.74913956340044,0
1,3,10,69.5038756589528,0
1,2,6,59.10435581496562,0
1,2,3,53.71091515204907,0
0,2,6,53.782627706616225,0
0,3,3,39.213989498523816,0
1,2,3,51.468909369036524,0
0,1,0,61.532770338672506,0
0,3,8,39.12773935328921,0
1,2,4,61.92142376631876,0
1,1,6,60.67393982000902,0
1,2,2,63.42894258242764,0
1,2,6,54.27700136547188,0
0,3,3,43.282321727246604,0
1,2,5,59.59182819994378,0
1,3,8,59.16698715080628,0
0,2,7,51.2821561468494,0
1,1,5,68.15950169578906,0
1,3,0,40.47799748834565,0
1,2,14,73.92106137415713,1
1,2,10,73.24802432556443,1
1,2,7,55.463285231751996,0
0,3,3,34.82170547305949,0
0,2,5,64.73229432609287,0
1,1,3,56.1599351770536,0
1,1,9,78.73901395879876,1
1,2,6,59.07024615643094,0
1,3,3,53.54522572398572,0
1,2,4,61.27177845298109,0
1,2,8,71.64478367591474,1
1,1,10,73.99873086593612,1
1,2,10,79.94442319377427,1
1,3,7,56.0533171770741,0
1,2,4,59.1711020679978,0
1,3,0,46.22638466108804,0
0,2,6,42.913631012241446,0
0,1,5,63.570638725104395,0
0,3,5,42.1836542123201,0
1,2,5,57.839394784352905,0
0,3,1,44.23722015561454,0
1,3,7,54.806881632002344,0
1,1,7,74.89712234070214,1
0,1,7,73.28229906574393,1
1,3,8,60.930689327478646,0
0,2,7,46.20714254723313,0
0,1,4,59.15872339804115,0
1,1,5,62.41016350391745,0
0,1,5,56.07129359026868,0
0,3,5,36.5485208922458,0
1,1,8,63.58761742318179,0
1,2,7,70.72937501588858,1
0,2,11,62.51824551103123,0
1,2,12,77.9298704943273,1
0,1,5,67.94415975770974,0
0,3,0,31.495223573745246,0
1,1,9,80.30340166064569,1
1,3,3,47.94618672134131,0
1,3,3,51.53334827683523,0
1,2,4,61.73529413912062,0
1,2,4,51.393953840719355,0
1,2,7,79.48294448071275,1
0,2,0,35.158655004082135,0
1,3,2,49.70994725287797,0
0,3,6,49.38916580738744,0
1,2,7,68.57477666505112,0
0,2,7,51.12788820769326,0
0,3,3,41.25587305583237,0
1,3,2,41.47925734526011,0
1,2,3,53.21767111075012,0
1,2,6,64.5860510807948,0
1,2,9,70.21946419521443,1
0,3,0,37.4721330913723,0
0,1,4,62.39749470888338,0
0,2,1,31.520759589935913,0
1,2,0,55.28365215387839,0
1,2,8,73.18044673091008,1
1,2,7,68.49122286428114,0
0,3,6,42.30399090666538,0
1,1,8,76.2219302593829,1
1,2,4,75.14455239004107,1
1,1,4,63.57576157220238,0
1,1,12,72.44131653877437,1
1,2,4,55.06857475223924,0
0,2,7,56.50460305952281,0
0,2,5,38.707315944878964,0
1,2,0,50.84701537456035,0
0,1,0,56.90168325157941,0
0,2,3,52.19698917430489,0
0,3,8,53.74961806325734,0
0,3,7,52.121054188601526,0
1,2,8,55.186604947427355,0
1,2,2,58.60526564023962,0
1,3,10,68.52756693030123,0
0,1,2,60.27972188539173,0
1,3,6,48.34888936927257,0
1,3,5,51.116130454064695,0
0,1,4,57.16588615232967,0
1,1,9,62.92495780246455,0
0,3,3,37.565530858823976,0
1,2,1,48.010889392786105,0
1,1,5,78.12652790134456,1
0,2,4,45.68117556789055,0
0,2,15,76.42379431524265,1
1,2,7,56.15450487653388,0
1,3,4,50.34955206997565,0
1,3,2,49.484489380171574,0
1,2,0,45.459230256961646,0
0,2,2,38.7222070161108,0
0,2,5,48.34390005298769,0
1,2,9,66.83046007277552,0
0,1,8,80.27559286517673,1
1,3,6,58.89113142715755,0
1,3,4,55.397552814706515,0
1,2,6,64.69827387172535,0
0,2,3,45.766674522744495,0
1,2,10,69.58556508062567,0
1,2,4,56.39626814260577,0
1,2,5,60.834080297591385,0
1,2,0,55.78401974456736,0
0,3,4,44.00314370039723,0
1,2,8,64.79800762155794,0
1,2,2,57.83921847334056,0
0,3,3,35.18084701374622,0
0,1,7,69.16935274717622,0
0,2,1,38.45276765559095,0
0,2,8,51.04550816721556,0
0,2,3,50.9388839633862,0
1,3,4,53.46210573669618,0
0,2,2,40.17412717902168,0
0,3,6,35.82646326056334,0
1,2,12,72.45378046183635,1
0,2,7,52.42381689804754,0
1,3,2,44.85428257278298,0
0,2,8,54.07264208913143,0
0,2,4,44.16749941881336,0
1,2,9,68.3999792762179,0
1,2,7,64.60751504909467,0
1,1,0,50.22122821088678,0
1,2,2,52.00649108758405,0
1,2,8,66.38687141380417,0
0,2,5,51.99559205216724,0
0,3,2,38.23216731071291,0
1,2,3,52.69032410041286,0
1,3,0,46.995023796219265,0
1,1,5,73.5377444466088,1
1,2,12,78.58353236294509,1
0,3,7,48.314690663912685,0
1,2,12,77.6279508774116,1
0,3,8,55.18759392919096,0
1,2,8,71.3781339700883,1
1,1,11,79.83380190558829,1
1,2,6,67.34321109795043,0
1,2,4,52.5917445186797,0
1,3,8,53.488673738298594,0
0,2,9,53.907299657730974,0
1,3,4,53.343403548252695,0
1,3,3,48.28044973243371,0
1,2,5,64.12926334913854,0
0,2,7,39.99675728373575,0
1,3,7,56.32613871971098,0
0,3,1,32.43672470191834,0
0,2,11,50.20060001629696,0
1,2,3,63.47365503634652,0
0,2,4,37.05669318677728,0
0,2,2,36.56387094415085,0
1,2,13,80.53989878902567,1
1,3,6,60.23022671714366,0
1,1,2,53.459126517576266,0
1,1,8,74.41244604630319,1
1,2,7,65.44892239329111,0
0,2,4,59.324506491674924,0
0,2,8,56.509308083974034,0
1,2,3,55.29379089465734,0
1,2,4,53.717490214402886,0
1,1,0,51.278783165222144,0
1,2,1,47.87115452265921,0
0,3,10,60.254343864717,0
1,2,10,70.08984957508235,1
0,2,5,50.65400586377426,0
1,2,10,77.57123799990444,1
1,3,5,43.20767928896267,0
1,2,4,64.39436882350188,0
0,2,5,49.43066080533958,0
0,3,5,44.69421245845218,0
0,2,4,40.54191225476646,0
1,1,8,67.22437800775741,0
1,2,5,62.44422944906494,0
0,1,7,80.92298900165734,1
0,2,8,58.52974696299092,0
1,3,6,63.3276146070927,0
0,2,2,39.71102817270482,0
1,3,1,43.998978877071856,0
1,1,5,61.095975242105034,0
0,3,4,40.226423217427055,0
0,2,5,35.35615117561032,0
1,2,5,56.37540328554199,0
0,1,13,78.19823421970078,1
0,3,1,31.42786316752045,0
1,1,0,55.65875054873646,0
1,1,6,68.81225434312805,0
1,2,4,57.9253731377852,0
1,2,6,59.09278456828621,0
0,2,7,41.093669663079154,0
0,1,9,70.12345695799104,1
1,2,0,45.13774681156497,0
1,2,3,58.33033374139302,0
1,2,6,66.54643698346847,0
1,2,7,68.6928553352997,0
0,3,12,58.37780868745462,0
1,2,8,65.33237132273756,0
0,2,5,46.73299208937946,0
1,2,2,50.26448623166467,0
0,3,3,29.475260816609698,0
0,3,3,45.36352753517632,0
0,3,7,46.08639365286245,0
1,2,6,55.76829853189563,0
1,1,1,52.867543121448826,0
1,2,4,53.66513271783724,0
1,2,8,66.21512242507563,0
0,2,6,55.71824658256205,0
0,3,7,44.33209312591981,0
1,3,6,45.73733242608175,0
0,3,10,52.54652564800773,0
1,2,6,61.21903049951402,0
0,2,4,43.68883069698673,0
1,2,2,50.86269416762149,0
0,1,6,68.08719540362921,0
1,3,0,45.33070557574501,0
1,1,4,62.87584842936676,0
1,2,4,60.063206807214826,0
0,2,1,38.01389943850094,0
1,2,2,51.56707165149673,0
1,3,7,65.900616447927,0
1,2,6,64.79677704857718,0
1,3,5,59.134730304714,0
1,2,6,68.13052292667034,0
1,2,5,62.629720903124,0
1,3,9,67.64194339568085,0
1,2,5,52.1032741896487,0
1,3,1,48.020769359980136,0
0,2,10,54.782455785776044,0
0,2,6,57.21900125340098,0
1,2,3,60.6382276590165,0
1,3,1,43.847774046034104,0
1,1,6,68.86397079264603,0
1,3,5,55.8384066672462,0
0,2,10,61.19516567915391,0
0,2,4,41.2251405429863,0
1,2,2,55.800082326191124,0
0,2,8,50.62213881542555,0
1,2,8,67.41224882027801,0
0,3,6,41.445675424451856,0
1,2,7,61.074684143017,0
1,2,5,65.86921010183352,0
1,2,6,56.742262208299195,0
1,1,8,66.11122799478976,0
0,2,7,51.063098386093884,0
1,2,4,54.14054812407023,0
1,2,9,63.574856838686,0
0,1,0,55.525379856041475,0
1,2,11,64.47467071548148,0
1,2,0,44.960188825431814,0
1,2,3,66.27047791461821,0
1,2,5,62.29737529484505,0
1,1,5,61.267183238650446,0
1,3,8,63.09107539133099,0
1,3,2,51.836652384933146,0
1,3,6,61.97207210045119,0
0,1,3,60.364219852716346,0
0,3,6,48.63777883410278,0
0,3,5,33.06871912765955,0
1,3,5,49.718459347621234,0
1,1,3,61.81935700868228,0
0,2,3,46.17827451024861,0
1,3,6,52.44108856165679,0
0,2,8,54.920825443275646,0
1,2,3,52.8807987565637,0
1,2,2,52.61520452886417,0
1,2,7,69.12386900332505,0
1,1,5,69.544687484443,0
1,2,7,59.01469836318369,0
0,1,2,53.71374268989948,0
0,2,0,36.86972816176947,0
1,2,3,55.866268494135376,0
1,2,3,52.7105075571263,0
1,1,5,70.20321221399834,1
1,2,3,57.736949208542775,0
1,3,7,61.03042554937215,0
1,1,4,56.66730585527514,0
1,1,5,70.8364535869189,1
1,1,5,50.89915588879654,0
0,3,6,49.74922432465153,0
1,2,5,64.67155868835385,0
0,2,7,51.52760164345001,0
1,1,3,67.36455108623711,0
1,2,9,67.68451223522827,0
0,3,4,41.792307136782185,0
1,3,1,48.697643937021084,0
1,2,6,77.93287455905528,1
0,1,2,65.72216954041502,0
0,1,7,72.5056560035646,1
1,1,12,74.43597756699403,1
1,2,3,56.71794912739746,0
1,1,6,62.93437953076807,0
1,2,0,54.11055423641407,0
1,2,6,62.702334878674286,0
1,3,2,43.377391601930526,0
1,2,3,56.405622917092515,0
1,3,2,44.75291265141847,0
1,3,7,59.75608110668774,0
0,1,8,66.70461341817372,0
0,3,5,43.53391769998622,0
1,2,2,57.75234930967547,0
1,2,10,69.73474004037448,0
1,2,3,54.045558664138056,0
0,3,0,31.20721527383072,0
0,2,6,52.53726897663486,0
0,2,2,34.52717152351217,0
0,3,8,52.0763945096244,0
1,1,4,69.587704095087,0
0,2,7,56.33560134834172,0
1,3,9,63.288770733336136,0
1,3,1,50.19868753349447,0
0,3,3,39.18979747620045,0
1,3,5,58.76800554579907,0
1,1,10,64.88034194508528,0
0,3,3,30.114971584595498,0
1,2,3,61.024145747416185,0
1,2,6,54.4736041191928,0
1,1,3,63.00769317859603,0
0,2,5,47.28484156713753,0
1,3,0,40.019053772020015,0
1,3,12,70.74824878573737,1
0,2,1,40.98119048927416,0
1,1,4,73.55171326048189,1
1,2,5,56.87594397732055,0
1,3,11,74.20055060034586,1
0,3,1,36.06875207201346,0
1,2,11,68.69489059228644,0
0,1,7,72.99623228758622,1
0,2,6,50.61064337658255,0
0,2,2,43.877156515817774,0
0,3,7,47.34786533536631,0
0,2,3,39.42988523683892,0
0,2,9,48.981605084175165,0
1,2,2,57.79721086911292,0
0,1,5,63.88030287843363,0
0,3,3,36.563784617293614,0
1,2,2,55.399107979721386,0
1,2,7,65.32644172391905,0
1,2,7,56.85336764512968,0
0,2,9,63.05012386444793,0
0,2,0,37.05801479011206,0
0,3,8,46.17034426125437,0
0,2,13,64.50555252625676,0
0,2,4,45.08199062831497,0
0,1,11,80.83531344744851,1
0,2,4,46.17126847968652,0
0,1,1,60.58923114498133,0
1,2,4,64.75496952863757,0
0,3,8,54.92597339990815,0
0,3,2,37.6737496099516,0
1,2,3,50.385494219615836,0
1,2,7,72.33898966502258,1
0,1,5,63.811383133264435,0
1,2,7,61.63446293319739,0
1,3,6,48.316365911177805,0
0,2,6,49.710365582707325,0
1,2,4,58.74443301976885,0
1,3,6,49.4244253187526,0
0,3,2,40.00450782805852,0
0,2,9,55.21633328674242,0
1,2,3,69.45157503644347,0
1,1,8,68.15319403954565,0
0,1,4,60.82403333901103,0
0,3,6,40.619972973825135,0
0,3,4,45.28999804607947,0
1,3,2,47.13612102767623,0
1,1,0,51.37542923117252,0
0,3,2,41.90194993053281,0
1,2,4,51.09823532293407,0
1,2,6,65.12555273124474,0
0,2,8,61.547788723981945,0
0,1,4,65.83303916417545,0
1,3,2,52.18949158129963,0
1,2,1,56.35030108453742,0
1,1,6,75.5485401433776,1
1,1,9,79.04946980009552,1
0,1,9,75.19834861136512,1
1,1,7,73.51945700318001,1
1,2,7,59.570325372674446,0
0,3,10,58.86338864487877,0
0,1,6,61.97222014408126,0
0,1,7,67.16488790684187,0
0,2,4,32.03850188822156,0
0,3,1,37.252896567994874,0
0,2,3,42.362628539336164,0
0,2,5,51.326217738836746,0
0,2,5,47.630610537299674,0
1,2,11,77.62047947350813,1
1,1,5,59.58201727663731,0
1,3,9,68.19193018579816,0
1,2,4,68.52928172181663,0
1,2,4,61.82079149965947,0
0,3,1,37.17389152796382,0
1,2,3,56.84798838197467,0
1,2,7,61.37665609717318,0
1,2,5,63.80596186350754,0
1,1,8,63.46958544798966,0
0,1,6,64.91122437539592,0
0,2,4,37.932317831336,0
0,3,11,50.86548273722468,0
1,3,5,58.21022545946781,0
1,2,8,68.52696688110231,0
0,1,4,63.25456847767737,0
1,1,7,69.85200497031005,0
1,3,8,51.570676910678955,0
0,2,6,49.21624596952857,0
0,2,0,35.186849717458394,0
0,3,5,39.12467508655834,0
0,3,9,52.322824096764776,0
0,3,7,44.22419146550525,0
0,1,6,63.97659574936294,0
0,3,0,23.08117028331199,0
0,3,3,34.89627735525954,0
1,2,6,56.5608122614319,0
0,2,6,50.25039805453878,0
1,2,9,63.244459766287676,0
1,3,5,55.52271122774608,0
1,1,6,66.27657119628829,0
0,2,5,53.66586049566503,0
0,1,2,61.48608990226597,0
1,3,0,35.80181063718848,0
1,1,6,60.67555577948646,0
1,2,6,62.27604004496167,0
0,2,3,36.393757550276064,0
0,3,0,17.52485871826366,0
1,2,7,70.74773156916872,1
1,1,4,66.60112008452704,0
1,3,7,61.60488436745886,0
1,2,11,68.96338477264543,0
0,3,0,35.69816380612539,0
1,1,3,57.47819837889559,0
0,2,4,45.07040245822556,0
0,2,9,52.60053019319253,0
1,1,0,62.58144225278007,0
1,2,11,64.14881672959078,0
0,2,5,54.901184849193804,0
0,3,5,41.27017959259024,0
1,2,4,55.55266502329005,0
0,2,4,46.66678498481855,0
1,2,8,69.66674003589091,0
0,3,2,44.82604399853365,0
1,2,6,63.56571511566766,0
1,2,4,53.54651957368861,0
0,2,3,43.022521894067324,0
0,2,13,71.42015687640344,1
0,2,6,58.11303423031028,0
0,3,7,52.15891609074713,0
1,2,8,69.97843510061193,0
0,3,1,39.39086667617154,0
1,1,10,80.79377417254935,1
0,2,0,35.817582927578215,0
1,3,3,44.22456967112497,0
1,1,4,63.345017503685305,0
1,3,7,54.91209206611155,0
1,2,6,56.72489622311408,0
1,3,4,49.398607117060344,0
0,2,5,58.609345144788115,0
1,2,2,54.68062317037922,0
1,1,1,58.809539181804944,0
1,2,7,57.88818596497873,0
0,1,7,59.781235206036854,0
1,1,10,70.90473678440597,1
1,1,3,68.19097792604374,0
0,2,7,52.10283681901099,0
0,3,4,42.68035590530344,0
1,1,9,76.6928301960103,1
1,1,8,68.04325310100862,0
1,2,6,68.93982791986684,0
0,1,4,59.83596200388909,0
1,1,8,78.03116179631276,1
0,1,7,71.2115107806767,1
0,3,3,32.02334649942543,0
0,3,1,32.54923600009538,0
1,2,4,49.07530733563948,0
1,2,10,75.81641066397104,1
1,2,8,65.876322895988,0
0,2,2,31.741800054740764,0
1,2,1,53.87873440859829,0
0,2,9,53.954399457864156,0
1,2,2,46.580970724833385,0
1,1,7,77.38982918484348,1
0,2,3,45.8042966222384,0
1,3,10,63.53284298843344,0
0,2,3,41.951298337700464,0
1,3,8,53.43360265421114,0
1,3,6,50.47725550207945,0
0,1,6,73.42458392437541,1
1,2,0,47.63058565107141,0
0,2,0,39.734435579614185,0
1,3,4,42.77834761899463,0
1,3,6,50.40953982102247,0
1,2,2,57.04906259937376,0
0,2,2,42.138447848630264,0
1,3,7,67.76687599362158,0
1,1,7,75.71478165815613,1
0,3,5,39.90784120109536,0
0,3,7,48.49343437556186,0
1,2,1,50.41698278548463,0
1,2,4,68.27404909319324,0
1,2,10,75.745073480262,1
1,2,5,60.84842545428876,0
1,2,5,61.00197392438176,0
0,3,12,65.7757270510892,0
0,3,1,35.447473387835444,0
0,3,7,51.964960941809856,0
1,1,10,64.03176036870563,0
0,3,4,44.29432350588504,0
1,3,8,58.42282567659308,0
1,2,2,62.78188993813996,0
1,1,3,68.73199343594915,0
0,2,6,48.64097994830294,0
1,3,7,66.67815489405515,0
0,2,8,60.7058794467501,0
1,3,10,65.37203335963073,0
0,2,5,59.66045124944577,0
0,3,9,51.22667873901764,0
1,1,4,61.92739524832046,0
0,2,8,57.93656936751996,0
0,2,6,47.66970259036617,0
1,1,6,67.42669887897446,0
1,3,6,64.04717212025454,0
1,2,0,50.09609426108635,0
1,2,2,45.524911035123466,0
1,2,5,61.836596939245986,0
0,2,0,34.51534688379789,0
0,1,7,73.32635578647273,1
0,1,8,74.48094857913122,1
1,3,6,64.35700174083262,0
1,2,2,58.537661503963484,0
1,3,9,68.45122141829032,0
1,3,11,63.65451619931143,0
1,2,5,64.0199324794525,0
0,2,7,59.19304397863293,0
1,2,6,58.55675045681616,0
1,3,7,67.99869145863549,0
1,3,5,52.25324954399335,0
0,2,5,42.02072822003762,0
1,3,8,62.48100221677419,0
1,1,12,82.57955208064405,1
1,3,1,51.55875061986133,0
1,3,5,50.19118789613399,0
1,1,1,59.17270048627145,0
1,2,10,66.57222714258248,0
0,1,3,53.55538871964712,0
1,2,1,47.356318422336074,0
1,3,7,55.24549817022091,0
1,2,10,72.60797580176254,1
1,1,7,74.76106831534334,1
1,2,6,54.633966850623665,0
1,3,6,58.75980537104028,0
1,2,9,62.116509071145465,0
0,2,2,45.938918833795185,0
1,1,5,61.88634709498126,0
1,3,4,47.74335490988361,0
0,3,1,38.070536640138535,0
1,2,4,55.065386972774526,0
1,1,8,69.4201802432365,0
1,1,7,57.900054562218116,0
1,1,7,73.73275680711737,1
0,2,5,50.6610968511897,0
0,3,7,48.32650711289592,0
0,2,3,36.56996658132046,0
1,3,4,59.04684589167381,0
0,2,6,44.140941660176466,0
0,3,6,41.89736724857106,0
0,3,6,57.47523155149607,0
1,1,5,61.48181777945385,0
1,2,4,61.7110498121325,0
0,2,14,70.19653731981734,1
0,1,8,72.95086096440042,1
1,2,6,63.41000271277255,0
1,2,4,59.881942809445995,0
0,3,4,41.76856848732832,0
1,2,5,59.740408206119696,0
0,3,6,51.817987005407986,0
0,2,0,31.764624939230544,0
1,3,0,50.10729052007688,0
1,2,3,60.11171149343776,0
1,3,6,60.49199560664701,0
0,2,4,50.43281699610505,0
1,2,9,67.53700302365803,0
1,2,1,42.655129620865615,0
0,2,3,45.295113270330624,0
1,1,10,70.04402891187723,1
0,1,5,61.34070395070968,0
1,1,8,64.78790163083794,0
0,3,11,53.887577241450124,0
1,2,3,53.016881530082756,0
0,2,5,35.38078174530819,0
1,3,4,56.50110955641144,0
1,2,0,61.10160929002441,0
1,2,4,61.03118596748144,0
0,1,8,69.98538021732887,0
1,3,7,58.72626802161892,0
0,3,7,46.58599219071185,0
1,3,4,53.450207919334794,0
0,2,3,41.41041570467833,0
0,3,9,48.084025995725945,0
0,1,4,71.41444194473915,1
1,1,6,59.564228821451145,0
1,1,5,68.59165771597124,0
0,2,9,54.124412492989656,0
1,2,8,75.50415907532873,1
1,2,1,53.7043229962411,0
1,1,1,55.20047231408376,0
1,2,7,62.76146400782751,0
1,3,5,55.19953347259881,0
1,2,4,52.286046525017994,0
0,3,8,45.209635165838314,0
0,2,6,41.07634141632947,0
1,3,5,50.38511550812953,0
1,2,7,64.46953240830224,0
0,2,4,45.67642760336688,0
0,2,10,47.60604085415342,0
